AR;Cidade;Código do Hawb;Data de Postagem;Data de Recebimento;Dias em transferência;Data Pre-Entrega(Lista);data SLA;Data Tentativa 1;Data do Último Status;Franquia Atual;Franquia de Destino;Franquia de Origem;Motivo de Devolução;Produto;Tipo de Baixa;Transfer;Transfer Esporádico;UF;Último Status
1333091422597-01;São José dos Pinhais;5377251934;22/05/2023 17:47;23/05/2023 07:16;2;;29/05/2023 23:59;;23/05/2023 07:19;ILG;ZPR;SEI;;Standard;;1702216;;PR;Preparada para a transferencia
1333071422547-01;Maceió;5377251956;22/05/2023 17:48;23/05/2023 07:11;2;;29/05/2023 23:59;;23/05/2023 07:12;ILG;DJR;SEI;;Standard;;1702216;;AL;Preparada para a transferencia
1333051422458-01;Videira;5377251967;22/05/2023 17:46;23/05/2023 08:13;2;;29/05/2023 23:59;;23/05/2023 08:16;ILG;CAD;SEI;;Standard;;1702216;;SC;Preparada para a transferencia
1333031422414-01;São Paulo;5377251989;22/05/2023 17:46;23/05/2023 09:24;2;;29/05/2023 23:59;;23/05/2023 09:28;ILG;BDL;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333031422394-01;São José dos Campos;5377251990;22/05/2023 17:45;23/05/2023 08:17;2;;29/05/2023 23:59;;23/05/2023 08:19;ILG;SJP;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333021422378-01;Macapá;5377252006;22/05/2023 17:49;23/05/2023 08:06;2;;29/05/2023 23:59;;23/05/2023 08:09;ILG;MCP;SEI;;Standard;;1702216;;AP;Preparada para a transferencia
1333011422375-01;Brasília;5377252017;22/05/2023 17:43;23/05/2023 07:11;2;;29/05/2023 23:59;;23/05/2023 07:12;ILG;BIA;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1333011422362-01;São Luís;5377252028;22/05/2023 17:49;23/05/2023 08:32;2;;29/05/2023 23:59;;23/05/2023 08:34;ILG;SLD;SEI;;Standard;;1702216;;MA;Preparada para a transferencia
1333011422348-01;Araguari;5377252039;22/05/2023 17:43;23/05/2023 07:33;2;;29/05/2023 23:59;;23/05/2023 07:52;ILG;UBL;SEI;;Standard;;1702216;;MG;Preparada para a transferencia
1333001422341-01;Rondonópolis;5377252040;22/05/2023 17:45;23/05/2023 08:03;2;;29/05/2023 23:59;;23/05/2023 08:06;ILG;ROO;SEI;;Standard;;1702216;;MT;Preparada para a transferencia
1333001422339-01;Brasília;5377252051;22/05/2023 17:44;23/05/2023 07:11;2;;29/05/2023 23:59;;23/05/2023 07:12;ILG;BIA;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1332891422261-01;Salvador;5377252062;22/05/2023 17:43;23/05/2023 04:01;2;;29/05/2023 23:59;;23/05/2023 04:03;ILG;SSA;SEI;;Standard;;1702216;;BA;Preparada para a transferencia
1332831422065-01;Brasília;5377252073;22/05/2023 17:45;23/05/2023 07:11;2;;29/05/2023 23:59;;23/05/2023 07:12;ILG;BIA;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1332751421832-01;Gurupi;5377252084;22/05/2023 17:44;23/05/2023 08:28;2;;29/05/2023 23:59;;23/05/2023 08:33;ILG;GUR;SEI;;Standard;;1702216;;TO;Preparada para a transferencia
1,33232E+14;LONDRINA;5377596634;22/05/2023 00:01;23/05/2023 07:46;2;;29/05/2023 23:59;;23/05/2023 09:12;LDB;LDB;SEI;;Standard;;1701053;;PR;Entrega em andamento (na rua)
1333331422937-01;Curitiba;5381891500;22/05/2023 17:39;23/05/2023 06:52;2;;29/05/2023 23:59;;23/05/2023 07:04;ILG;ZUC;SEI;;Standard;;1702216;;PR;Preparada para a transferencia
1333321422917-01;Sumaré;5381891522;22/05/2023 17:41;23/05/2023 08:17;2;;29/05/2023 23:59;;23/05/2023 08:19;ILG;IND;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333811423504-01;Niterói;5382358266;22/05/2023 17:40;23/05/2023 07:53;2;;29/05/2023 23:59;;23/05/2023 09:36;NTT;NTT;SEI;;Standard;;1702660;;RJ;Entrega em andamento (na rua)
1333811423500-01;Parnamirim;5382358277;22/05/2023 17:44;23/05/2023 08:42;2;;29/05/2023 23:59;;23/05/2023 08:49;ILG;NTL;SEI;;Standard;;1702216;;RN;Preparada para a transferencia
1333801423474-01;Feira de Santana;5382358288;22/05/2023 17:41;23/05/2023 07:50;2;;29/05/2023 23:59;;23/05/2023 07:53;ILG;FSA;SEI;;Standard;;1702216;;BA;Preparada para a transferencia
1333791423457-01;Brasília;5382358299;22/05/2023 17:40;23/05/2023 08:15;2;;29/05/2023 23:59;;23/05/2023 08:19;ILG;SOL;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1333791423453-01;Belém;5382358302;22/05/2023 17:39;23/05/2023 08:40;2;;29/05/2023 23:59;;23/05/2023 08:42;ILG;HAF;SEI;;Standard;;1702216;;PA;Preparada para a transferencia
1333791423449-01;Brasília;5382358313;22/05/2023 17:39;23/05/2023 04:04;2;;29/05/2023 23:59;;23/05/2023 04:06;ILG;SOL;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1333771423406-01;MANAUS;5382358335;22/05/2023 17:38;23/05/2023 04:16;2;;29/05/2023 23:59;;23/05/2023 04:18;ILG;FOG;SEI;;Standard;;1702216;;AM;Preparada para a transferencia
1333601423248-01;Altamira;5382358426;22/05/2023 17:41;23/05/2023 09:05;2;;29/05/2023 23:59;;23/05/2023 09:10;ILG;ATM;SEI;;Standard;;1702216;;PA;Preparada para a transferencia
1333591423226-01;Salvador;5382358448;22/05/2023 17:38;23/05/2023 08:17;2;;29/05/2023 23:59;;23/05/2023 08:19;ILG;SSA;SEI;;Standard;;1702216;;BA;Preparada para a transferencia
1333581423222-01;Caratinga;5382358459;22/05/2023 17:41;23/05/2023 07:04;2;;29/05/2023 23:59;;23/05/2023 07:06;ILG;CIG;SEI;;Standard;;1702216;;MG;Preparada para a transferencia
1333581423211-01;Curitiba;5382358460;22/05/2023 17:40;23/05/2023 06:52;2;;29/05/2023 23:59;;23/05/2023 07:04;ILG;ZUC;SEI;;Standard;;1702216;;PR;Preparada para a transferencia
1333521423117-01;Penha;5382358540;22/05/2023 17:48;23/05/2023 08:11;2;;29/05/2023 23:59;;23/05/2023 08:12;ILG;NAV;SEI;;Standard;;1702216;;SC;Preparada para a transferencia
1333511423113-01;Brasília;5382358551;22/05/2023 17:47;23/05/2023 08:10;2;;29/05/2023 23:59;;23/05/2023 08:12;ILG;VGO;SEI;;Standard;;1702216;;DF;Preparada para a transferencia
1333511423107-01;Brusque;5382358562;22/05/2023 17:49;23/05/2023 07:58;2;;29/05/2023 23:59;;23/05/2023 08:00;ILG;BQE;SEI;;Standard;;1702216;;SC;Preparada para a transferencia
1333491423078-01;São Luís;5382358584;22/05/2023 17:49;23/05/2023 08:32;2;;29/05/2023 23:59;;23/05/2023 08:34;ILG;SLD;SEI;;Standard;;1702216;;MA;Preparada para a transferencia
1333481423071-01;Mogi Mirim;5382358595;22/05/2023 17:43;23/05/2023 08:28;2;;29/05/2023 23:59;;23/05/2023 08:33;ILG;MGM;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333371423017-01;Taubaté;5382358608;22/05/2023 17:47;23/05/2023 08:38;2;;29/05/2023 23:59;;23/05/2023 08:39;ILG;LAN;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333351422978-01;Jacareí;5382358619;22/05/2023 17:51;23/05/2023 08:17;2;;29/05/2023 23:59;;23/05/2023 08:19;ILG;SJP;SEI;;Standard;;1702216;;SP;Preparada para a transferencia
1333281422825-01;Governador Valadares;5382358642;22/05/2023 17:42;23/05/2023 07:56;2;;29/05/2023 23:59;;23/05/2023 07:57;ILG;GVR;SEI;;Standard;;1702216;;MG;Preparada para a transferencia
1333281422812-01;Vila Velha;5382358653;22/05/2023 17:41;23/05/2023 07:02;2;;30/05/2023 23:59;;23/05/2023 07:05;ILG;PSE;SEI;;Standard;;1702216;;ES;Preparada para a transferencia
1333131422704-01;Vila Velha;5382358686;22/05/2023 17:38;23/05/2023 07:02;2;;30/05/2023 23:59;;23/05/2023 07:05;ILG;PSE;SEI;;Standard;;1702216;;ES;Preparada para a transferencia
1323861410155-01;Rio de Janeiro;5254710689;14/04/2023 17:47;15/04/2023 09:37;1;17/04/2023 12:40;24/04/2023 23:59;17/04/2023 16:46;19/04/2023 12:38;TLR;TLR;SEI;;Standard;EWX;1664572;;RJ;Em procedimento de retorno
1327751413458-01;Brasília;5306463702;02/05/2023 00:01;02/05/2023 12:32;1;03/05/2023 15:18;09/05/2023 23:59;03/05/2023 16:00;04/05/2023 10:56;BRL;BRL;SEI;;Standard;EWX;1687175;;DF;Em procedimento de retorno
1328111413879-01;São Paulo;5310169068;02/05/2023 00:01;02/05/2023 06:41;1;02/05/2023 15:16;09/05/2023 23:59;02/05/2023 18:29;05/05/2023 16:19;MIL;MIL;SEI;;Standard;EWX;1696329;;SP;Em procedimento de retorno
5337418066;Florianópolis;5310169115;02/05/2023 00:01;02/05/2023 09:25;1;;09/05/2023 23:59;03/05/2023 16:36;08/05/2023 11:41;FLS;FLS;SEI;Destinatário Ausente;Standard;DWR;1675862;;SC;Ciclo Operacional Encerrado
1328001413737-01;São José dos Campos;5310169126;02/05/2023 00:01;02/05/2023 07:34;1;02/05/2023 13:28;09/05/2023 23:59;02/05/2023 19:03;03/05/2023 16:51;SJP;SJP;SEI;;Standard;EWX;1678924;;SP;Em procedimento de retorno
1327981413714-01;Bragança Paulista;5310169159;02/05/2023 00:01;02/05/2023 05:55;1;02/05/2023 11:58;09/05/2023 23:59;02/05/2023 17:19;03/05/2023 13:46;BSP;BSP;SEI;;Standard;EWX;1681731;;SP;Em procedimento de retorno
1327971413687-01;Mogi das Cruzes;5310169171;02/05/2023 00:01;02/05/2023 07:06;1;02/05/2023 09:27;09/05/2023 23:59;02/05/2023 16:46;03/05/2023 16:50;ARJ;ARJ;SEI;;Standard;EWX;1680500;;SP;Em procedimento de retorno
1327961413677-01;Goiânia;5310169182;02/05/2023 00:01;02/05/2023 10:01;1;03/05/2023 19:07;09/05/2023 23:59;03/05/2023 19:53;15/05/2023 16:42;VSA;VSA;SEI;;Standard;EWX;1675918;;GO;Em procedimento de retorno
1331571419074-01;Belo Horizonte;5356972407;19/05/2023 00:01;20/05/2023 06:58;1;20/05/2023 10:11;26/05/2023 23:59;20/05/2023 11:47;22/05/2023 07:37;APO;APO;SEI;;Standard;EWX;1699462;;MG;Ciclo Operacional Encerrado
1332171420740-01;São Paulo;5360013786;19/05/2023 00:01;20/05/2023 05:42;1;20/05/2023 10:56;26/05/2023 23:59;20/05/2023 13:55;22/05/2023 08:39;CRM;CRM;SEI;;Standard;EWX;1700112;;SP;Ciclo Operacional Encerrado
1332141420661-01;São Luís;5360013855;19/05/2023 00:01;19/05/2023 10:03;1;;26/05/2023 23:59;;19/05/2023 10:06;ILG;SLD;SEI;;Standard;;1698193;1700850;MA;Preparada para a transferencia
1332071420488-01;Foz do Iguaçu;5360013913;19/05/2023 00:01;19/05/2023 10:52;1;;26/05/2023 23:59;;19/05/2023 10:54;ILG;IGU;SEI;;Standard;;1701503;;PR;Preparada para a transferencia
1331921420271-01;Juiz de Fora;5360013980;19/05/2023 00:01;19/05/2023 07:45;1;;26/05/2023 23:59;;19/05/2023 07:48;ILG;JDF;SEI;;Standard;;1701379;;MG;Preparada para a transferencia
1331901420131-01;Goiânia;5360014336;19/05/2023 00:01;20/05/2023 15:08;1;;29/05/2023 23:59;23/05/2023 08:09;23/05/2023 08:33;FSL;FSL;SEI;;Standard;;1699294;;GO;Entrega em andamento (na rua)
1331901420089-01;Palmas;5360014370;19/05/2023 00:01;19/05/2023 08:10;1;;26/05/2023 23:59;;19/05/2023 08:12;ILG;PMA;SEI;;Standard;;1698193;;TO;Preparada para a transferencia
