AR;Cidade;Código do Hawb;Data de Postagem;Data de Recebimento;Dias em transferência;Data Pre-Entrega(Lista);data SLA;Data Tentativa 1;Data do Último Status;Franquia Atual;Franquia de Destino;Franquia de Origem;Motivo de Devolução;Produto;Tipo de Baixa;Transfer;Transfer Esporádico;UF;Último Status
1324141410460-01;SÃO LUÍS;5293706287;24/04/2023 15:00;;;25/04/2023 13:38;02/05/2023 23:59;26/04/2023 09:39;27/04/2023 16:53;SLD;SLD;SLD;;Standard;EWX;;;MA;Em procedimento de retorno
1324931411296-01;BELO HORIZONTE;5305923761;27/04/2023 08:14;;;28/04/2023 12:16;05/05/2023 23:59;28/04/2023 17:19;29/04/2023 12:03;APO;APO;APO;;Standard;EWX;1686036;;MG;Em procedimento de retorno
1327311413238-01;VITÓRIA;5310074040;28/04/2023 12:50;;;28/04/2023 16:53;08/05/2023 23:59;28/04/2023 16:12;28/04/2023 17:30;VTA;VTA;VTA;;Standard;EWX;1676809;1678638;ES;Em procedimento de retorno
1327271413197-01;ITAJAÍ;5322743016;03/05/2023 12:00;;;04/05/2023 09:51;10/05/2023 23:59;04/05/2023 13:48;15/05/2023 18:39;JIT;JIT;JIT;;Standard;EWX;;;SC;Em procedimento de retorno
1328001413745-01;FLORIANÓPOLIS;5337418066;10/05/2023 11:26;;;11/05/2023 10:22;17/05/2023 23:59;11/05/2023 18:45;12/05/2023 16:41;FLS;FLS;FLS;;Standard;EWX;1694149;;SC;Em procedimento de retorno
1330711416309-01;Uberaba;5341883184;11/05/2023 17:21;;;;18/05/2023 23:59;;11/05/2023 18:30;SEI;UBB;SEI;;Standard;;1689542;;MG;Preparada para a transferencia
1329851415511-01;MARINGÁ;5353721586;12/05/2023 11:29;;;15/05/2023 15:22;19/05/2023 23:59;15/05/2023 17:39;16/05/2023 13:56;EOS;EOS;EOS;;Standard;EWX;;;PR;Em procedimento de retorno
1330881416429-01;BRASÍLIA;5372666739;18/05/2023 16:26;;;19/05/2023 16:56;25/05/2023 23:59;20/05/2023 23:01;22/05/2023 17:25;SOL;SOL;SOL;;Standard;EWX;;;DF;Ciclo Operacional Encerrado
1330881416423-01;BRASÍLIA;5372666740;18/05/2023 16:26;;;19/05/2023 16:56;25/05/2023 23:59;20/05/2023 23:01;20/05/2023 23:01;SOL;SOL;SOL;;Standard;EWX;;;DF;Entrega registrada
5383541223;JOINVILLE;5376422597;22/05/2023 06:09;;;;29/05/2023 23:59;22/05/2023 17:05;22/05/2023 18:54;JVL;JVL;JVL;Mudou-se (Endereço);Standard;DWR;;;SC;Ciclo Operacional Encerrado
1331181417992CQ;MANHUMIRIM;5376454095;22/05/2023 00:01;;;22/05/2023 18:25;29/05/2023 23:59;23/05/2023 09:48;23/05/2023 10:55;MHI;MHI;SEI;;Standard;EWX;;;MG;Ciclo Operacional Encerrado
1330891416445-01;SANTOS;5379853103;22/05/2023 07:20;;;22/05/2023 13:01;29/05/2023 23:59;22/05/2023 16:42;22/05/2023 16:54;SNT;SNT;SNT;;Standard;EWX;;;SP;Ciclo Operacional Encerrado
1333561423177-01;Rio Grande;5382358493;22/05/2023 17:51;;;;29/05/2023 23:59;;22/05/2023 19:46;SEI;RIG;SEI;;Standard;;1702216;;RS;Preparada para a transferencia
1331001416852-01;UBERABA;5382845826;22/05/2023 14:42;;;;29/05/2023 23:59;;23/05/2023 10:16;UBB;UBB;UBB;;Standard;;;;MG;Entrega em andamento (na rua)
1330521416102-01;JOINVILLE;5383541223;23/05/2023 00:01;;;;30/05/2023 23:59;;23/05/2023 09:14;JVL;JVL;JVL;Recusado (Destinatário / Interlocutor);Standard;;;;SC;Entrega NAO efetuada(RT)
